hs_section,flow,event_year,event_label,pre_share_pct,post_share_pct,delta_pp,baseline_sigma_pp,z_score
18 Optical. medical. photog. musical instr,import,2016,SAA into force,1.1865514553113188,1.271342139951597,0.08479068464027817,0.13233126100889392,0.6407456861956408
10 Paper and their articles,import,2020,Tariff removal Apr + COVID shock,1.5021174505952024,1.4310952134236234,-0.07102223717157896,0.11232719233382114,-0.6322800000244868
18 Optical. medical. photog. musical instr,import,2018,Serbia tariff onset (Nov),1.0843716709254754,1.0009826678191378,-0.08338900310633757,0.13233126100889392,-0.6301534684289983
02 Vegetable products,export,2016,SAA into force,4.776602089187012,5.416857757423472,0.6402556682364597,1.0477960186528132,0.611049915096698
14 Pearls. precious stones. metals etc,export,2022,Energy / Ukraine shock,0.5220139018455077,0.9005018155359363,0.37848791369042867,0.620325813367794,0.610143743068808
11 Textils and textile articles,import,2018,Serbia tariff onset (Nov),4.591702444816539,4.855078157795119,0.2633757129785801,0.4356761127545125,0.6045218116582458
13 Articl. of stone. plaster. ceramic product and glass,import,2018,Serbia tariff onset (Nov),3.645006363598771,3.5288201921057327,-0.11618617149303834,0.19744656388899454,-0.5884436234522612
21 Works of art,export,2018,Serbia tariff onset (Nov),0.05423136954048835,0.04272108843537415,-0.0115102811051142,0.019851352297940904,-0.5798235270001284
11 Textils and textile articles,import,2016,SAA into force,4.652874299634037,4.900101918162189,0.2472276185281519,0.4356761127545125,0.5674573640613058
08 Leather and their articles,export,2016,SAA into force,3.310543692782529,3.6146835214097006,0.3041398286271715,0.5451819769264504,0.5578684576878492
04 Prepared foodstufs beverageas and tobacco,import,2022,Energy / Ukraine shock,11.868944935943157,11.581133866109065,-0.2878110698340919,0.5166352053442878,-0.5570876062197376
12 Footwear,export,2022,Energy / Ukraine shock,0.5378926517115308,0.42133663133144983,-0.11655602038008095,0.20924042870319084,-0.5570434982496454
15 Base metal and articles of base metal,export,2018,Serbia tariff onset (Nov),35.821803655987935,34.076462585034015,-1.7453410709539199,3.24341123341625,-0.5381189572792997
13 Articl. of stone. plaster. ceramic product and glass,import,2020,Tariff removal Apr + COVID shock,3.307683729229397,3.4125999958745825,0.10491626664518572,0.19744656388899454,0.5313653708563405
21 Works of art,import,2020,Tariff removal Apr + COVID shock,0.10457146288528021,0.18079035720049166,0.07621889431521145,0.14375404338558184,0.5302034817258992
10 Paper and their articles,export,2018,Serbia tariff onset (Nov),1.3782704161265575,1.4568707482993197,0.07860033217276219,0.14912589397076906,0.5270736696349264
04 Prepared foodstufs beverageas and tobacco,export,2022,Energy / Ukraine shock,7.638075654303736,6.971397416456783,-0.6666782378469529,1.3466412831300434,-0.49506742901670914
15 Base metal and articles of base metal,export,2020,Tariff removal Apr + COVID shock,35.044640529011126,36.6207326420768,1.5760921130656769,3.24341123341625,0.4859365648202421
14 Pearls. precious stones. metals etc,import,2016,SAA into force,0.06304337429697718,0.09499934217436645,0.031955967877389274,0.07026198109548427,0.4548116545982658
12 Footwear,export,2020,Tariff removal Apr + COVID shock,0.6440543613171043,0.5496079042460895,-0.09444645707101473,0.20924042870319084,-0.45137766948942626
06 Product of chemical industries,export,2022,Energy / Ukraine shock,2.3324560324032357,2.048153044217295,-0.2843029881859409,0.638911458034622,-0.44498026230503884
20 Miscellaneous manufactured articles,export,2016,SAA into force,1.4251723056681034,3.1689845168041444,1.743812211136041,4.057579047633024,0.4297666639799139
14 Pearls. precious stones. metals etc,import,2022,Energy / Ukraine shock,0.14565990898337156,0.17578123614656604,0.03012132716319449,0.07026198109548427,0.42870022583422973
09 Wood and articles of wood,import,2020,Tariff removal Apr + COVID shock,2.385270207284259,2.4459175959978596,0.06064738871360076,0.14765659880047616,0.41073266759687266
20 Miscellaneous manufactured articles,import,2022,Energy / Ukraine shock,2.699372934412052,2.593983469151661,-0.10538946526039128,0.25700579443927235,-0.410066494766497
01 Live animals,export,2020,Tariff removal Apr + COVID shock,0.3470592530012412,0.2720664414888689,-0.0749928115123723,0.19491878217086386,-0.38473876492124987
11 Textils and textile articles,export,2018,Serbia tariff onset (Nov),2.629824607814608,2.8960544217687074,0.2662298139540993,0.6988173265480454,0.38097197055659343
17 Transport means,export,2016,SAA into force,0.5385897065423894,0.4863932615478028,-0.05219644499458653,0.14226681299078237,-0.36689122288814047
08 Leather and their articles,import,2016,SAA into force,0.2885344559937511,0.30084319982161634,0.012308743827865232,0.03399969392959502,0.36202513626603827
06 Product of chemical industries,import,2016,SAA into force,8.116198693282787,7.941658215310094,-0.1745404779726929,0.4944221823170241,-0.3530191083958634
11 Textils and textile articles,export,2022,Energy / Ukraine shock,3.4070504295863455,3.1628309732535427,-0.24421945633280284,0.6988173265480454,-0.3494753879947082
