year,flow,hs_section,share_of_flow_pct
2013,export,21 Works of art,0.043220212085324186
2014,import,01 Live animals,4.543291353075401
2014,import,02 Vegetable products,5.241425879001047
2014,import,03 Edible oils,0.981430354373889
2014,import,04 Prepared foodstufs beverageas and tobacco,13.506367951287773
2014,import,05 Mineral products,18.428765931696987
2014,import,06 Product of chemical industries,7.7061901970424715
2014,import,07 Plastics. rubber and articles therof,5.822121263694011
2014,import,08 Leather and their articles,0.2853444146086255
2014,import,09 Wood and articles of wood,2.169176972630889
2014,import,10 Paper and their articles,1.5280482962066488
2014,import,11 Textils and textile articles,4.742161794183276
2014,import,12 Footwear,1.1414564502099014
2014,import,13 Articl. of stone. plaster. ceramic product and glass,3.9512499527249347
2014,import,14 Pearls. precious stones. metals etc,0.07138534851178095
2014,import,15 Base metal and articles of base metal,8.977298513671949
2014,import,16 Machinery. appliances and electric materials,11.276678895150209
2014,import,17 Transport means,5.555411103967323
2014,import,18 Optical. medical. photog. musical instr,1.1568996381881673
2014,import,19 Arms and ammunition,0.020525257491522005
2014,import,20 Miscellaneous manufactured articles,2.775755455542529
2014,import,21 Works of art,0.1190149767406679
2014,export,01 Live animals,0.09521080411532525
2014,export,02 Vegetable products,5.712956372499176
2014,export,03 Edible oils,0.005854386013563688
2014,export,04 Prepared foodstufs beverageas and tobacco,6.313185001679284
2014,export,05 Mineral products,13.774445913176374
2014,export,06 Product of chemical industries,0.8035915117565315
2014,export,07 Plastics. rubber and articles therof,5.012586929929162
2014,export,08 Leather and their articles,3.5018472128500693
2014,export,09 Wood and articles of wood,0.8381015766785911
2014,export,10 Paper and their articles,0.7684651956751494
2014,export,11 Textils and textile articles,4.5266728908033755
2014,export,12 Footwear,0.5475391550580354
2014,export,13 Articl. of stone. plaster. ceramic product and glass,0.9012673205091467
2014,export,14 Pearls. precious stones. metals etc,0.0030812557966124676
2014,export,15 Base metal and articles of base metal,51.576216402757105
2014,export,16 Machinery. appliances and electric materials,4.12241213028782
2014,export,17 Transport means,0.28994617046123317
2014,export,18 Optical. medical. photog. musical instr,0.09212954831871277
2014,export,19 Arms and ammunition,0.0
2014,export,20 Miscellaneous manufactured articles,1.0966189380143772
2014,export,21 Works of art,0.01787128362035231
2015,import,01 Live animals,4.2499053020958035
2015,import,02 Vegetable products,5.444047771771599
2015,import,03 Edible oils,0.9722191647303254
2015,import,04 Prepared foodstufs beverageas and tobacco,13.386032685389651
2015,import,05 Mineral products,15.339580232087673
2015,import,06 Product of chemical industries,8.116198693282787
2015,import,07 Plastics. rubber and articles therof,6.192977248970848
2015,import,08 Leather and their articles,0.2885344559937511
2015,import,09 Wood and articles of wood,2.3702562802359592
2015,import,10 Paper and their articles,1.4703415273272722
2015,import,11 Textils and textile articles,4.652874299634037
2015,import,12 Footwear,1.1611974673339673
2015,import,13 Articl. of stone. plaster. ceramic product and glass,4.0489331967962885
2015,import,14 Pearls. precious stones. metals etc,0.06304337429697718
2015,import,15 Base metal and articles of base metal,9.889156008249914
2015,import,16 Machinery. appliances and electric materials,11.781292248739323
2015,import,17 Transport means,6.228958657058467
2015,import,18 Optical. medical. photog. musical instr,1.1865514553113188
2015,import,19 Arms and ammunition,0.052491864330354875
2015,import,20 Miscellaneous manufactured articles,2.995034717504196
2015,import,21 Works of art,0.11037334885948805
2015,export,01 Live animals,0.20473786789796308
2015,export,02 Vegetable products,4.776602089187012
2015,export,03 Edible oils,0.012603982858583312
2015,export,04 Prepared foodstufs beverageas and tobacco,7.819695413994725
2015,export,05 Mineral products,12.793042601462062
2015,export,06 Product of chemical industries,0.8822788001008318
2015,export,07 Plastics. rubber and articles therof,7.215011650998789
2015,export,08 Leather and their articles,3.310543692782529
2015,export,09 Wood and articles of wood,0.7571612141631877
2015,export,10 Paper and their articles,0.8687525745940595
2015,export,11 Textils and textile articles,3.675751781465382
2015,export,12 Footwear,0.9317724888869761
2015,export,13 Articl. of stone. plaster. ceramic product and glass,0.7534722435704316
2015,export,14 Pearls. precious stones. metals etc,1.6031651367685846
2015,export,15 Base metal and articles of base metal,48.489059128050314
2015,export,16 Machinery. appliances and electric materials,3.786113485032002
2015,export,17 Transport means,0.5385897065423894
2015,export,18 Optical. medical. photog. musical instr,0.10359859081323357
2015,export,19 Arms and ammunition,0.0
2015,export,20 Miscellaneous manufactured articles,1.4251723056681034
2015,export,21 Works of art,0.05287524516283731
2016,import,01 Live animals,3.9395689467584254
2016,import,02 Vegetable products,5.302755733748032
2016,import,03 Edible oils,0.9988553475488198
2016,import,04 Prepared foodstufs beverageas and tobacco,13.37354135679853
2016,import,05 Mineral products,11.741345111817811
2016,import,06 Product of chemical industries,7.941658215310094
2016,import,07 Plastics. rubber and articles therof,6.754632472639293
2016,import,08 Leather and their articles,0.30084319982161634
2016,import,09 Wood and articles of wood,2.6041291374454065
2016,import,10 Paper and their articles,1.4964009588839262
2016,import,11 Textils and textile articles,4.900101918162189
2016,import,12 Footwear,1.255246024994506
2016,import,13 Articl. of stone. plaster. ceramic product and glass,3.9864591881033578
2016,import,14 Pearls. precious stones. metals etc,0.09499934217436645
2016,import,15 Base metal and articles of base metal,9.872188243526692
2016,import,16 Machinery. appliances and electric materials,12.821971591253321
2016,import,17 Transport means,7.886952933741006
2016,import,18 Optical. medical. photog. musical instr,1.271342139951597
2016,import,19 Arms and ammunition,0.10302947524872799
2016,import,20 Miscellaneous manufactured articles,3.26156043410039
2016,import,21 Works of art,0.0924182279718931
2016,export,01 Live animals,0.25030197722413494
2016,export,02 Vegetable products,5.416857757423472
2016,export,03 Edible oils,0.0029067326387318894
2016,export,04 Prepared foodstufs beverageas and tobacco,8.929805636477557
2016,export,05 Mineral products,20.632957180598527
2016,export,06 Product of chemical industries,1.5189292888840085
2016,export,07 Plastics. rubber and articles therof,9.324798305051901
2016,export,08 Leather and their articles,3.6146835214097006
2016,export,09 Wood and articles of wood,1.168829491063412
2016,export,10 Paper and their articles,1.2844528560263027
2016,export,11 Textils and textile articles,2.836971055402324
2016,export,12 Footwear,1.0887328583516889
2016,export,13 Articl. of stone. plaster. ceramic product and glass,1.1542958278697526
2016,export,14 Pearls. precious stones. metals etc,0.0019378217591545929
2016,export,15 Base metal and articles of base metal,35.907514226841414
2016,export,16 Machinery. appliances and electric materials,2.9823076873389187
2016,export,17 Transport means,0.4863932615478028
2016,export,18 Optical. medical. photog. musical instr,0.17214316627156634
2016,export,19 Arms and ammunition,0.0
2016,export,20 Miscellaneous manufactured articles,3.1689845168041444
2016,export,21 Works of art,0.056196831015483194
2017,import,01 Live animals,3.986947238250644
2017,import,02 Vegetable products,4.882839550012504
